,product_id,product_name,price,category
0,790510,Fresh Computer,89032866,Outdoors
1,514083,Gorgeous Chips,84084378,Garden
2,360291,Wooden Keyboard,26312161,Beauty
3,525706,Practical Keyboard,40037529,Electronics
4,109877,Keyboard,35751052,Jewelery
5,207209,Frozen Salad,14350485,Home
6,733001,Shoes,53075905,Electronics
7,323046,Rubber Hat,25446700,Computers
8,77130,Soap,14119585,Sports
9,797868,Shoes,34262239,Toys
10,677352,Fresh Tuna,12501574,Tools
11,5898,Awesome Towels,87073462,Automotive
12,95466,Gorgeous Soft Chair,307573,Clothing
13,10076,Computer,27880166,Electronics
14,944611,Generic Soap,76080648,Sports
15,874582,Small Mouse,69356657,Music
16,891504,Mouse,22794852,Garden
17,432389,Refined Plastic Mouse,39661612,Baby
18,378165,Plastic Bacon,79160773,Automotive
19,719996,Mouse,78716493,Toys
20,837012,Soft Computer,99421040,Computers
21,593354,Chair,39957482,Automotive
22,997036,Concrete Fish,15139744,Grocery
23,910203,Handmade Sausages,94841054,Music
24,77468,Ergonomic Rubber Chicken,8690156,Home
25,915470,Granite Chicken,32134360,Home
26,2715,Practical Cotton Chips,63493036,Books
27,593113,Soft Chips,83244982,Beauty
28,942029,Small Gloves,63115960,Music
29,972484,Steel Shirt,33921360,Electronics
30,526443,Mouse,78081073,Shoes
31,177238,Mouse,33349586,Music
32,145915,Unbranded Ball,50279716,Grocery
33,90583,Table,87630310,Music
34,976134,Rubber Pizza,22774865,Automotive
35,508695,Soft Shirt,11280445,Garden
36,65897,Car,49697806,Tools
37,849922,Gloves,74245488,Computers
38,807190,Practical Concrete Gloves,50498992,Movies
39,979338,Licensed Hat,57152090,Jewelery
40,521029,Tasty Table,7081293,Automotive
41,127650,Cotton Ball,31106250,Movies
42,816081,Ergonomic Mouse,44057330,Clothing
43,577014,Handmade Car,94258178,Health
44,233082,Awesome Shirt,1732899,Games
45,39656,Used Shoes,75242502,Jewelery
46,182344,Rustic Shirt,29726439,Games
47,982192,Small Keyboard,81018635,Industrial
48,91789,Handmade Plastic Towels,16906840,Grocery
49,581101,Keyboard,45104400,Shoes
50,745642,Handmade Chair,69580830,Sports
51,110407,Hat,22511176,Music
52,317609,Cotton Cheese,5679835,Grocery
53,527833,Soft Fish,73457775,Games
54,880943,Shoes,26834951,Clothing
55,560649,Used Fresh Fish,59632408,Home
56,595618,Granite Fish,58371939,Sports
57,482587,Frozen Cheese,61379374,Kids
58,824320,Steel Fish,44215028,Electronics
59,15337,Generic Rubber Chips,80571092,Garden
60,930745,For repair Granite Gloves,30779357,Jewelery
61,883559,Granite Gloves,10985781,Baby
62,168211,Refined Keyboard,59068853,Health
63,300230,Soft Chips,31500062,Automotive
64,991311,Tuna,14781824,Music
65,133775,Soft Shirt,85582902,Computers
66,52991,Chips,97031067,Baby
67,951432,Metal Computer,32454715,Baby
68,685757,Rubber Shoes,81162838,Sports
69,934847,Soap,96723312,Automotive
70,715044,New Wooden Gloves,10716199,Computers
71,282010,Gorgeous Concrete Cheese,57066475,Shoes
72,292271,Keyboard,91127037,Home
73,348472,Unbranded Fresh Bike,96014081,Automotive
74,421362,Soft Keyboard,41258116,Grocery
75,706178,Tuna,49017142,Toys
76,993651,Cotton Shoes,49005588,Garden
77,712447,Tuna,68794543,Grocery
78,254820,Shoes,58166688,Movies
79,362748,Fresh Cheese,45525857,Tools
80,428989,Refined Cotton Mouse,85154719,Automotive
81,300580,Steel Chair,65076577,Beauty
82,485428,Steel Soap,13877756,Industrial
83,289388,Sleek Fresh Pants,24984569,Toys
84,469746,Licensed Rubber Chair,19011714,Tools
85,244880,New Concrete Cheese,77184502,Music
86,256053,Bike,42570154,Kids
87,760493,Intelligent Cheese,47355278,Baby
88,199845,Intelligent Pants,17089748,Electronics
89,18268,For repair Fresh Pants,75238526,Kids
90,198760,Cheese,34909998,Baby
91,848179,Handmade Gloves,85920721,Electronics
92,516106,Practical Fresh Computer,28381965,Movies
93,824793,For repair Fish,37665726,Automotive
94,638108,Bacon,82434923,Shoes
95,95453,Steel Chips,55175589,Sports
96,314320,Rustic Plastic Salad,29529113,Toys
97,569826,Gently Used Metal Chicken,63782646,Outdoors
98,749974,Gorgeous Computer,69119681,Outdoors
99,242340,Table,8196781,Jewelery
100,995021,Refined Table,91199030,Games
101,219762,Sausages,20048606,Beauty
102,271125,Granite Car,32284652,Outdoors
103,489577,Gorgeous Mouse,74885704,Toys
104,766887,Chair,2268099,Beauty
105,811230,Handmade Steel Cheese,18130411,Beauty
106,117426,Rubber Pants,29296165,Baby
107,563896,Soft Car,19420029,Baby
108,541120,Awesome Pants,53686568,Beauty
109,903358,Rustic Chips,64277143,Beauty
110,955576,Licensed Mouse,51352755,Industrial
111,716238,Frozen Tuna,58208057,Shoes
112,973323,Rubber Gloves,39184405,Automotive
113,81182,Wooden Computer,44511658,Home
114,986536,Handcrafted Keyboard,83115460,Baby
115,655764,Handcrafted Frozen Chair,82556160,Jewelery
116,363706,Sleek Sausages,21964630,Baby
117,865310,Small Cheese,66165401,Electronics
118,78933,Metal Car,52751521,Kids
119,325150,Soap,10862640,Jewelery
120,692577,Handcrafted Table,57691790,Music
121,151735,Gently Used Cheese,38015338,Kids
122,700668,Soft Towels,69176778,Home
123,336968,Gently Used Soap,72468642,Jewelery
124,20639,Practical Gloves,52731644,Jewelery
125,911577,Handmade Bike,89102618,Grocery
126,271302,Handmade Cotton Shirt,6816641,Home
127,956930,Practical Pants,55150303,Electronics
128,562846,Rustic Fish,2031799,Grocery
129,561774,Soft Mouse,34320314,Baby
130,682599,Rustic Table,81853128,Outdoors
131,74630,Keyboard,36755782,Tools
132,905767,Fresh Tuna,45220323,Books
133,258174,Handcrafted Mouse,96752268,Games
134,571636,Granite Chips,25787744,Industrial
135,174565,Fresh Mouse,36943641,Books
136,816738,Handcrafted Rubber Hat,59136696,Toys
137,642300,Handmade Concrete Mouse,16012166,Games
